图论24题	www.byvoid.com/blog/lpf24-solution

问题名称            问题模型                转化模型
飞行员配对方案问题  二分图最大匹配          网络最大流
太空飞行计划问题    最大权闭合图            网络最小割
最小路径覆盖问题    有向无环图最小路径覆盖  网络最大流
魔术球问题          有向无环图最小路径覆盖  网络最大流
圆桌问题            二分图多重匹配          网络最大流
最长递增子序列问题  最多不相交路径          网络最大流
试题库问题          二分图多重匹配          网络最大流
机器人路径规划问题  (未解决)                最小费用最大流
方格取数问题        二分图点权最大独立集    网络最小割
餐巾计划问题        线性规划网络优化        最小费用最大流
航空路线问题        最长不相交路径          最小费用最大流
软件补丁问题        最小转移代价            最短路径
星际转移问题        网络判定                网络最大流
孤岛营救问题        分层图最短路径          最短路径
汽车加油行驶问题    分层图最短路径          最短路径
数字梯形问题        最大权不相交路径        最小费用最大流
运输问题            网络费用流量            最小费用最大流
分配问题            二分图最佳匹配          最小费用最大流
负载平衡问题        最小代价供求            最小费用最大流
深海机器人问题      线性规划网络优化        最小费用最大流
最长k可重区间集问题 最大权不相交路径        最小费用最大流
最长k可重线段集问题 最大权不相交路径        最小费用最大流
火星探险问题        线性规划网络优化        最小费用最大流
骑士共存问题        二分图最大独立集        网络最小割
